state,rate_Mbps,duration_s,bytes_sent,timestamp
0,0,0.0,0,1759430218.471004
0,0,0.0,0,1759430218.4714162
0,0,0.0,0,1759430218.471523
0,0,0.0,0,1759430218.4715948
1,10,5.003087,6252464,1759430223.4808362
2,50,5.001185,31253632,1759430228.4905977
1,10,5.001228,6251016,1759430233.5024707
1,10,5.002686,6251016,1759430238.5132565
1,10,5.001381,6251016,1759430243.5210578
2,50,5.001987,31255080,1759430248.5302017
2,50,5.000848,31253632,1759430253.5375845
2,50,5.001828,31252184,1759430258.54782
0,0,0.0,0,1759430258.5480127
2,50,5.001373,31253632,1759430263.554685
2,50,5.001687,31253632,1759430268.5637388
0,0,0.0,0,1759430268.563921
0,0,0.0,0,1759430268.5640116
1,10,5.002262,6252464,1759430273.5721915
1,10,5.001511,6251016,1759430278.5807877
2,50,5.001141,31252184,1759430283.5885038
0,0,0.0,0,1759430283.588686
0,0,0.0,0,1759430283.5887868
0,0,0.0,0,1759430283.5888684
0,0,0.0,0,1759430283.5889394
0,0,0.0,0,1759430283.5890033
2,50,5.002019,31256528,1759430288.5976264
0,0,0.0,0,1759430288.597805
1,10,5.002198,6252464,1759430293.6059675
1,10,5.002709,6252464,1759430298.6153414
0,0,0.0,0,1759430298.6155267
0,0,0.0,0,1759430298.6156359
0,0,0.0,0,1759430298.6157258
0,0,0.0,0,1759430298.6158001
1,10,5.001977,6252464,1759430303.6263225
2,50,5.001316,31252184,1759430308.637755
2,50,5.002471,31256528,1759430313.6476588
0,0,0.0,0,1759430313.6478457
0,0,0.0,0,1759430313.6479475
1,10,5.002266,6252464,1759430318.6561127
0,0,0.0,0,1759430318.6563063
0,0,0.0,0,1759430318.6564174
0,0,0.0,0,1759430318.6565354
0,0,0.0,0,1759430318.6566474
0,0,0.0,0,1759430318.656755
1,10,5.002244,6251016,1759430323.665685
1,10,5.001323,6251016,1759430328.6768289
0,0,0.0,0,1759430328.6770906
0,0,0.0,0,1759430328.6772645
1,10,5.001265,6251016,1759430333.68902
0,0,0.0,0,1759430333.689437
